id,name,committed_start_date,committed_end_date,duration_days,num_elevators,required_skills,award_status,procurement_date
34,Sunset Tech Campus,2026-06-15,2027-03-22,280,4,"Gen2,Geared,Compass",awarded,
35,Westfield Residences,2026-04-06,2027-05-31,420,6,"Gearless,Machine Replacement",awarded,
36,Copperfield Hospital,2026-03-09,2027-07-12,490,7,"Gen2,Geared,Compass",awarded,
37,Riverside Luxury Tower,2026-03-09,2027-05-03,420,6,Machine Replacement,awarded,
38,Gateway Hospital,2025-12-22,2026-12-07,350,5,"Gen2,Geared,Compass",awarded,
39,Grand High School,2026-02-02,2027-03-29,420,6,Gen2,awarded,
40,Willowbrook Touchup,2025-12-29,2026-01-12,14,0,,awarded,
41,Northgate University Hall,2026-03-23,2027-03-08,350,5,Gen2,awarded,
42,Northgate Stadium,2026-03-09,2026-12-14,280,4,"Gen2,Geared",awarded,
43,Northgate City Hall,2026-09-14,2027-02-01,140,2,"Gearless,Compass",awarded,
44,Eastside University Hall,2026-01-19,2027-01-04,350,5,"Gen2,Machine Replacement",awarded,
45,Hillcrest Convention Center,2026-03-30,2026-10-26,210,3,"Geared,Compass",awarded,
46,Northgate Prep,2026-03-16,2026-03-30,14,0,,awarded,
47,Pyramid Medical Center,2026-01-26,2027-08-09,560,8,"Gearless,Machine Replacement",awarded,
48,Westfield City Hall,2026-02-23,2027-04-19,420,6,Geared,awarded,
49,Kingsbridge Prep,2025-12-22,2025-12-29,7,0,,awarded,
50,Grand Library,2026-02-16,2027-06-21,490,7,"Gen2,Compass",awarded,
51,Gateway Touchup,2026-02-23,2026-03-02,7,0,,awarded,
52,Parkview University Hall,2026-02-09,2026-06-29,140,2,"Gen2,Compass",awarded,
53,Hillcrest Library,2026-02-09,2027-08-23,560,8,"Geared,Compass",awarded,
54,Meadowbrook Tech Campus,2027-01-04,2027-08-02,210,3,"Gearless,Compass",awarded,
55,Kingsbridge Library,2025-12-29,2026-12-14,350,5,"Gearless,Machine Replacement",awarded,
56,Oceanview Luxury Tower,2026-01-05,2026-12-21,350,5,Compass,awarded,
57,Fairview Prep,2026-02-02,2026-02-09,7,0,,awarded,
58,Thornfield Convention Center,2026-01-19,2027-08-02,560,8,"Gen2,Gearless",awarded,
59,Maplewood Convention Center,2026-10-12,2026-12-21,70,1,"Gen2,Geared,Compass",awarded,
60,Lincoln Condominiums,2026-03-30,2027-08-02,490,7,"Gen2,Geared,Compass",awarded,
61,Copperfield Apartments,2026-02-02,2026-11-09,280,4,"Gen2,Compass",pending_award,
62,Gateway High School,2025-12-01,2027-04-05,490,7,"Gearless,Compass",pending_award,
63,Birchwood Prep,2026-12-28,2027-01-11,14,0,,pending_award,
64,Silverton Touchup,2026-06-29,2026-07-13,14,0,,pending_award,
65,Ridgeline Medical Center,2026-03-23,2027-07-26,490,7,Machine Replacement,pending_award,
66,Grand Prep,2026-02-02,2026-02-16,14,0,,pending_award,
67,Riverside Stadium,2026-07-06,2027-02-01,210,3,Compass,pending_award,
68,Hillcrest Luxury Tower,2026-02-09,2027-08-23,560,8,"Gearless,Compass",pending_award,
69,Highland Office Tower,2026-02-16,2026-07-06,140,2,"Gearless,Machine Replacement",pending_award,
70,Westfield Museum,2025-12-01,2027-04-05,490,7,"Gen2,Gearless",pending_award,
71,Pinecrest City Hall,2026-03-16,2026-08-03,140,2,"Gearless,Compass",pending_award,
72,Eastside Shopping Plaza,2026-02-09,2027-04-05,420,6,"Gen2,Machine Replacement",pending_award,
73,Northgate Office Tower,2026-02-16,2027-06-21,490,7,"Gen2,Geared,Compass",pending_award,
74,Metropolitan Shopping Plaza,2026-01-12,2027-07-26,560,8,"Gearless,Compass",pending_award,
75,Thornfield Tech Campus,2026-02-02,2027-01-18,350,5,"Geared,Compass",pending_award,
76,Greenfield Luxury Tower,2026-03-16,2027-03-01,350,5,"Gen2,Geared",pending_award,
77,Midtown Library,2026-01-26,2027-05-31,490,7,"Gen2,Geared",pending_award,
78,Elmwood Luxury Tower,2026-06-29,2027-08-23,420,6,"Gearless,Machine Replacement",pending_award,
79,Highland Medical Center,2026-02-09,2027-01-25,350,5,"Gen2,Machine Replacement",pending_award,
80,Downtown University Hall,2026-05-11,2027-09-13,490,7,"Gen2,Compass",pending_award,
81,Sunset Hospital,2026-02-16,2027-08-30,560,8,"Gearless,Machine Replacement",pending_award,
82,Elmwood City Hall,2026-01-19,2027-01-04,350,5,"Geared,Machine Replacement",pending_award,
83,Pyramid Office Tower,2026-02-02,2027-03-29,420,6,"Gen2,Geared",pending_award,
84,Creekside Touchup,2025-12-29,2026-01-05,7,0,,pending_award,
85,Greenfield Residences,2026-03-02,2027-02-15,350,5,Geared,pending_award,
86,Gateway Office Tower,2025-12-01,2026-06-29,210,3,Machine Replacement,pending_award,
87,Riverside Corporate Center,2026-02-23,2027-09-06,560,8,Geared,pending_award,
88,Downtown Tower,2026-01-26,2026-08-24,210,3,Gen2,pending_award,
89,Highland Luxury Tower,2025-12-08,2026-04-27,140,2,"Geared,Compass",pending_award,
90,Maplewood Hotel,2026-02-09,2026-06-29,140,2,Compass,pending_award,
91,Creekside Apartments,2026-02-16,2026-11-23,280,4,"Gearless,Machine Replacement",pending_award,
92,Oceanview Condominiums,2026-01-26,2027-05-31,490,7,Machine Replacement,pending_award,
93,Highland Prep,2026-03-02,2026-03-09,7,0,,pending_award,
94,Cedarwood Touchup,2026-02-09,2026-02-16,7,0,,pending_award,
95,Kingsbridge Museum,2026-01-05,2027-07-19,560,8,Geared,pending_award,
96,Pyramid Convention Center,2026-02-02,2026-08-31,210,3,Machine Replacement,pending_award,
97,Thornfield City Hall,2026-03-09,2027-02-22,350,5,"Gen2,Compass",pending_award,
98,Creekside Library,2026-02-23,2027-02-08,350,5,"Gen2,Machine Replacement",pending_award,
99,Cedarwood City Hall,2026-03-23,2027-05-17,420,6,"Geared,Compass",pending_award,
100,Highland Stadium,2026-02-23,2026-05-04,70,1,"Gearless,Machine Replacement",pending_award,
